bom.gov.au,"HTTPSConnectionPool(host='bom.gov.au', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb856c56be0>, 'Connection to bom.gov.au timed out. (connect timeout=2)'))","HTTPConnectionPool(host='bom.gov.au', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fb85624ae20>, 'Connection to bom.gov.au timed out. (connect timeout=2)'))"
bontonland.cz,"HTTPSConnectionPool(host='www.bontonland.cz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bontonland.cz', port=443): Read timed out. (read timeout=2)"
boo-lab.it,"HTTPSConnectionPool(host='boo-lab.it', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb854b2a580>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='boo-lab.it', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb85651cb50>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bookme.co.il,"HTTPSConnectionPool(host='bookme.co.il', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb85ad1ecd0>, 'Connection to bookme.co.il timed out. (connect timeout=2)'))","HTTPConnectionPool(host='bookme.co.il', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fb854f15f70>, 'Connection to bookme.co.il timed out. (connect timeout=2)'))"
booknet.co.il,"HTTPSConnectionPool(host='booknet.co.il', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb853edc190>, 'Connection to booknet.co.il timed out. (connect timeout=2)'))","HTTPConnectionPool(host='booknet.co.il', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fb85466eee0>, 'Connection to booknet.co.il timed out. (connect timeout=2)'))"
books-library.online,"HTTPSConnectionPool(host='books-library.net', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='books-library.net', port=443): Read timed out. (read timeout=2)"
booksale.pl,"('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect data check'))","('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect data check'))"
booksite.ru,"HTTPSConnectionPool(host='www.booksite.ru', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.booksite.ru', port=443): Read timed out. (read timeout=2)"
borneonews.co.id,"HTTPSConnectionPool(host='www.borneonews.co.id', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.borneonews.co.id', port=443): Read timed out. (read timeout=2)"
bos.rs,"HTTPSConnectionPool(host='bos.rs', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='bos.rs', port=443): Read timed out. (read timeout=2)"
bosquedefantasias.com,"HTTPSConnectionPool(host='bosquedefantasias.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='bosquedefantasias.com', port=80): Read timed out. (read timeout=2)"
bot.or.th,"HTTPSConnectionPool(host='bot.or.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb8529b0070>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='bot.or.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb852f4a220>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
bpost.be,"HTTPSConnectionPool(host='bpost.be', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb853291c70>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))","HTTPConnectionPool(host='bpost.be', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb85635ba30>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
brack.ch,"HTTPSConnectionPool(host='www.brack.ch', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.brack.ch', port=443): Read timed out. (read timeout=2)"
bracu.ac.bd,"HTTPSConnectionPool(host='bracu.ac.bd', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='bracu.ac.bd', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
bradva.bg,"HTTPSConnectionPool(host='bradva.bg', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='bradva.bg', port=80): Read timed out. (read timeout=2)"
branchen-info.net,"HTTPConnectionPool(host='www.branchen-info.net', port=80): Read timed out. (read timeout=2)","HTTPConnectionPool(host='www.branchen-info.net', port=80): Read timed out. (read timeout=2)"
brandspurng.com,"HTTPSConnectionPool(host='brandspurng.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='brandspurng.com', port=443): Read timed out. (read timeout=2)"
branza.co.il,"HTTPSConnectionPool(host='branza.co.il', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='branza.co.il', port=443): Read timed out. (read timeout=2)"
bratislavskykraj.sk,"HTTPSConnectionPool(host='bratislavskykraj.sk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='bratislavskykraj.sk', port=443): Read timed out. (read timeout=2)"
brazilianjournals.com,"HTTPSConnectionPool(host='brazilianjournals.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'brazilianjournals.com' doesn't match 'www.brazilianjournals.com'"")))","HTTPSConnectionPool(host='brazilianjournals.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'brazilianjournals.com' doesn't match 'www.brazilianjournals.com'"")))"
brecha.com.uy,"HTTPSConnectionPool(host='brecha.com.uy', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='brecha.com.uy', port=80): Read timed out. (read timeout=2)"
bri.co.id,"HTTPSConnectionPool(host='bri.co.id', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='bri.co.id', port=443): Read timed out. (read timeout=2)"
bricomarche.com,"HTTPSConnectionPool(host='www.bricomarche.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bricomarche.com', port=443): Read timed out. (read timeout=2)"
bricorama.fr,"HTTPSConnectionPool(host='bricorama.fr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb8503b2100>, 'Connection to bricorama.fr timed out. (connect timeout=2)'))","HTTPConnectionPool(host='bricorama.fr', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fb8511e44f0>, 'Connection to bricorama.fr timed out. (connect timeout=2)'))"
britannicaenglish.com,"HTTPSConnectionPool(host='britannicaenglish.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb8507e0610>, 'Connection to britannicaenglish.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='britannicaenglish.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fb850aaa340>, 'Connection to britannicaenglish.com timed out. (connect timeout=2)'))"
brnenskalekarna.cz,"HTTPSConnectionPool(host='www.brnenskalekarna.cz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.brnenskalekarna.cz', port=443): Read timed out. (read timeout=2)"
brocard.be,"HTTPSConnectionPool(host='brocard.be', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb8541d5c10>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='brocard.be', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb8561182e0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bru.ac.th,"HTTPSConnectionPool(host='bru.ac.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb85511e910>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))","HTTPConnectionPool(host='bru.ac.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb85063d550>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
brussels-onstage.be,"HTTPSConnectionPool(host='brussels-onstage.be', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb854eb1b50>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='brussels-onstage.be', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb850632ee0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
brx.ro,"HTTPSConnectionPool(host='brx.ro', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)')))","HTTPSConnectionPool(host='brx.ro', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)')))"
bseindia.com,"('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))","('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))"
bturg.ee,"HTTPSConnectionPool(host='bturg.ee', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)')))","HTTPSConnectionPool(host='buduaar.ee', port=443): Max retries exceeded with url: /Turg/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)')))"
bug.co.il,"HTTPSConnectionPool(host='bug.co.il', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb84ef55220>, 'Connection to bug.co.il timed out. (connect timeout=2)'))","HTTPConnectionPool(host='bug.co.il', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fb850b09a00>, 'Connection to bug.co.il timed out. (connect timeout=2)'))"
buldoza.gr,"HTTPSConnectionPool(host='buldoza.gr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: UNSUPPORTED_PROTOCOL] unsupported protocol (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.buldoza.gr', port=443): Read timed out. (read timeout=2)"
bulelengkab.go.id,"HTTPSConnectionPool(host='bulelengkab.go.id', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='bulelengkab.go.id', port=443): Read timed out. (read timeout=2)"
bulnews.bg,"HTTPSConnectionPool(host='www.bulnews.bg', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bulnews.bg', port=443): Read timed out. (read timeout=2)"
bulvar.cz,"HTTPSConnectionPool(host='bulvar.cz', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb8557acd00>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='bulvar.cz', port=80): Read timed out. (read timeout=2)"
bumaps.com,"HTTPSConnectionPool(host='www.bumaps.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bumaps.com', port=443): Read timed out. (read timeout=2)"
bunnings.co.nz,"HTTPSConnectionPool(host='www.bunnings.co.nz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bunnings.co.nz', port=443): Read timed out. (read timeout=2)"
burgas.bg,"HTTPSConnectionPool(host='burgas.bg', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='burgas.bg', port=443): Read timed out. (read timeout=2)"
bursa.bel.tr,"HTTPSConnectionPool(host='bursa.bel.tr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'bursa.bel.tr' doesn't match either of 'e-belediye.bursa.bel.tr', 'akillisehir.bursa.bel.tr', 'owa.bursa.bel.tr', 'mail.bursa.bel.tr', 'autodiscover.bursa.bel.tr', 'www.bursa.bel.tr'"")))","HTTPSConnectionPool(host='bursa.bel.tr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'bursa.bel.tr' doesn't match either of 'e-belediye.bursa.bel.tr', 'akillisehir.bursa.bel.tr', 'owa.bursa.bel.tr', 'mail.bursa.bel.tr', 'autodiscover.bursa.bel.tr', 'www.bursa.bel.tr'"")))"
businessactuality.com,"HTTPSConnectionPool(host='businessactuality.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='businessactuality.com', port=80): Read timed out. (read timeout=2)"
businessnews.com.tn,"HTTPSConnectionPool(host='businessnews.com.tn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb853a83d00>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='businessnews.com.tn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb84d2e5c70>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
businesspost.ng,"HTTPSConnectionPool(host='businesspost.ng', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='businesspost.ng', port=443): Read timed out. (read timeout=2)"
buyabans.com,"HTTPSConnectionPool(host='buyabans.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='buyabans.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
buybitcoinspaypal.com,"HTTPSConnectionPool(host='buybitcoinspaypal.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb8537db610>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='buybitcoinspaypal.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb854045f10>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
buzzsneakers.com,Exceeded 30 redirects.,Exceeded 30 redirects.
bvs.hn,"HTTPSConnectionPool(host='bvs.hn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb84d4c02e0>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='bvs.hn', port=80): Read timed out. (read timeout=2)"
bydleniprokazdeho.cz,"HTTPSConnectionPool(host='bydleniprokazdeho.cz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='bydleniprokazdeho.cz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
bygghemma.se,"HTTPConnectionPool(host='www.bygghemma.se', port=80): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bygghemma.se', port=443): Read timed out. (read timeout=2)"
cad.go.th,"HTTPSConnectionPool(host='cad.go.th', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fb855242f10>, 'Connection to cad.go.th timed out. (connect timeout=2)'))","HTTPConnectionPool(host='cad.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb85604e2e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
