kddi.com,"HTTPSConnectionPool(host='kddi.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.kddi.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1129)')))"
kdu.ac.lk,"HTTPSConnectionPool(host='www.kdu.ac.lk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.kdu.ac.lk', port=443): Read timed out. (read timeout=2)"
keeng.vn,"HTTPSConnectionPool(host='keeng.vn', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='keeng.vn', port=80): Read timed out. (read timeout=2)"
kemenkeu.go.id,"HTTPSConnectionPool(host='kemenkeu.go.id', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='kemenkeu.go.id', port=443): Read timed out. (read timeout=2)"
kemenkumham.go.id,"HTTPSConnectionPool(host='kemenkumham.go.id', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f7f22b624f0>, 'Connection to kemenkumham.go.id timed out. (connect timeout=2)'))","HTTPConnectionPool(host='kemenkumham.go.id', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f7f23764580>, 'Connection to kemenkumham.go.id timed out. (connect timeout=2)'))"
kenanaonline.com,"HTTPSConnectionPool(host='kenanaonline.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='kenanaonline.com', port=80): Read timed out. (read timeout=2)"
kenyalaw.org,"HTTPSConnectionPool(host='kenyalaw.org', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f7f218351c0>, 'Connection to kenyalaw.org timed out. (connect timeout=2)'))","HTTPConnectionPool(host='kenyalaw.org', port=80): Read timed out. (read timeout=2)"
kenyamoja.com,"HTTPSConnectionPool(host='www.kenyamoja.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.kenyamoja.com', port=443): Read timed out. (read timeout=2)"
kenyanews.go.ke,"HTTPSConnectionPool(host='kenyanews.go.ke', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='kenyanews.go.ke', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
kerix.net,"HTTPSConnectionPool(host='kerix.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'kerix.net' doesn't match 'www.kerix.net'"")))","HTTPSConnectionPool(host='kerix.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'kerix.net' doesn't match 'www.kerix.net'"")))"
keskkonnainfo.ee,"HTTPSConnectionPool(host='keskkonnainfo.ee', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7f20b1b0d0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='keskkonnainfo.ee', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7f222aa4c0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
kg.ac.rs,"HTTPSConnectionPool(host='kg.ac.rs', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='kg.ac.rs', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
kget.jp,"HTTPSConnectionPool(host='kget.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: EE certificate key too weak (_ssl.c:1129)')))","HTTPConnectionPool(host='www.kget.jp', port=80): Read timed out. (read timeout=2)"
khabarmasr.com,"HTTPSConnectionPool(host='khabarmasr.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.khabarmasr.com', port=443): Read timed out. (read timeout=2)"
kielce.eu,"HTTPSConnectionPool(host='kielce.eu', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7f1f39efd0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='kielce.eu', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7f20543df0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
kielce.pl,"HTTPSConnectionPool(host='kielce.pl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7f229d3430>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='kielce.pl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7f20379a30>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
kiesproduct.nl,"HTTPSConnectionPool(host='kiesproduct.nl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.kiesproduct.nl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
kikkoman.co.jp,"HTTPSConnectionPool(host='kikkoman.co.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7f20e8d520>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='kikkoman.co.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7f21807370>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
kingsoopers.com,"HTTPSConnectionPool(host='kingsoopers.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f7f23697e20>, 'Connection to kingsoopers.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='www.kingsoopers.com', port=80): Read timed out. (read timeout=2)"
kino.dk,"HTTPSConnectionPool(host='kino.dk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.kino.dk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1129)')))"
kinogoo.cc,"HTTPSConnectionPool(host='kinogoo.cc', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='kinogoo.cc', port=443): Read timed out. (read timeout=2)"
kinokuniya.co.jp,"HTTPSConnectionPool(host='kinokuniya.co.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7f1ed4d0a0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='kinokuniya.co.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7f1e880d90>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
kinokuniya.com,"HTTPSConnectionPool(host='kinokuniya.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7f214b4220>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='kinokuniya.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7f2238bee0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
kis.si,"HTTPSConnectionPool(host='kis.si', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f7f22aac0d0>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='kis.si', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7f1e8e1640>: Failed to establish a new connection: [Errno 111] Connection refused'))"
kitapyurdu.com,"HTTPSConnectionPool(host='kitapyurdu.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f7f21bfda90>, 'Connection to kitapyurdu.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='kitapyurdu.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f7f20dca4f0>, 'Connection to kitapyurdu.com timed out. (connect timeout=2)'))"
kkl.org.il,"HTTPSConnectionPool(host='kkl.org.il', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'kkl.org.il' doesn't match '*.kkl.org.il'"")))","HTTPSConnectionPool(host='kkl.org.il', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'kkl.org.il' doesn't match '*.kkl.org.il'"")))"
