locatelcolombia.com,"HTTPSConnectionPool(host='locatelcolombia.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f14a93d9b50>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='locatelcolombia.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f14a8ef8ee0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
logic-immo.be,"HTTPSConnectionPool(host='www.logic-immo.be', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.logic-immo.be', port=443): Read timed out. (read timeout=2)"
logicrdv.fr,"HTTPSConnectionPool(host='logicrdv.fr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.logicrdv.fr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
lombardiabeniculturali.it,"HTTPSConnectionPool(host='lombardiabeniculturali.it', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'lombardiabeniculturali.it' doesn't match either of 'lispa.it', 'www.lispa.it'"")))","HTTPConnectionPool(host='lombardiabeniculturali.it', port=80): Read timed out. (read timeout=2)"
lonestarinspectioncompany.com,"HTTPConnectionPool(host='www.lonestarinspectioncompany.com', port=80): Read timed out. (read timeout=2)","HTTPConnectionPool(host='www.lonestarinspectioncompany.com', port=80): Read timed out. (read timeout=2)"
looduspere.ee,"HTTPSConnectionPool(host='www.looduspere.ee', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.looduspere.ee', port=443): Read timed out. (read timeout=2)"
loopnet.com,"HTTPSConnectionPool(host='loopnet.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='loopnet.com', port=80): Read timed out. (read timeout=2)"
loot.co.za,"HTTPSConnectionPool(host='loot.co.za', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'loot.co.za' doesn't match 'www.loot.co.za'"")))","HTTPSConnectionPool(host='www.loot.co.za', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1129)')))"
lossc.co,"HTTPSConnectionPool(host='lossc.co', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='lossc.co', port=80): Read timed out. (read timeout=2)"
lowes.ca,"HTTPSConnectionPool(host='www.lowes.ca', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.lowes.ca', port=443): Read timed out. (read timeout=2)"
lowes.com,"HTTPSConnectionPool(host='www.lowes.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.lowes.com', port=443): Read timed out. (read timeout=2)"
lsmu.lt,"HTTPSConnectionPool(host='lsmu.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='lsmuni.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
lsmuni.lt,"HTTPSConnectionPool(host='lsmuni.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='lsmuni.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
lsu.lt,"HTTPSConnectionPool(host='lsu.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'lsu.lt' doesn't match either of 'www.lsu.lt', 'journals.lsu.lt'"")))","HTTPSConnectionPool(host='www.lsu.lt', port=443): Read timed out. (read timeout=2)"
lu.se,"HTTPSConnectionPool(host='lu.se', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1129)')))","HTTPSConnectionPool(host='lu.se', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1129)')))"
luattrongtay.vn,"HTTPSConnectionPool(host='luattrongtay.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='luattrongtay.vn', port=443): Read timed out. (read timeout=2)"
luiss.it,"HTTPSConnectionPool(host='luiss.it', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f14a61e4490>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='luiss.it', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f14a5204160>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
lukoprekyba.lt,"HTTPSConnectionPool(host='www.lukoprekyba.lt', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.lukoprekyba.lt', port=443): Read timed out. (read timeout=2)"
lums.edu.pk,"HTTPSConnectionPool(host='lums.edu.pk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='lums.edu.pk', port=443): Read timed out. (read timeout=2)"
lunchtime.co.nz,"HTTPSConnectionPool(host='lunchtime.co.nz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='lunchtime.co.nz', port=443): Read timed out. (read timeout=2)"
luts.ee,"HTTPSConnectionPool(host='luts.ee', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f14a815f4f0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='luts.ee', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f14a8ade190>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
luximmo.bg,"HTTPSConnectionPool(host='www.luximmo.bg', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.luximmo.bg', port=443): Read timed out. (read timeout=2)"
luxurycarrentalitaly.it,"HTTPSConnectionPool(host='luxurycarrentalitaly.it', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='luxurycarrentalitaly.it', port=80): Read timed out. (read timeout=2)"
lzs.lt,"HTTPSConnectionPool(host='lzs.lt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'lzs.lt' doesn't match either of '*.balt.net', 'balt.net'"")))","HTTPConnectionPool(host='lzs.lt', port=80): Read timed out. (read timeout=2)"
m-almada.pt,"HTTPSConnectionPool(host='m-almada.pt', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f14a5bbe340>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='m-almada.pt', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f14a3152700>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
m-culture.go.th,"HTTPSConnectionPool(host='m-culture.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f14a1fbf790>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='m-culture.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f14a64761c0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
macmillandictionary.com,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
macmillanthesaurus.com,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
madeingreece.news,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
madrid.org,"HTTPSConnectionPool(host='madrid.org', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f14a5667d60>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='madrid.org', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f14a16f1340>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
mae.ro,"HTTPSConnectionPool(host='mae.ro', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f14a778f8b0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))","HTTPConnectionPool(host='mae.ro', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f14a9b9fa30>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
maedchenflohmarkt.de,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
