moi.gov.sa,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
moit.gov.vn,"HTTPSConnectionPool(host='moit.gov.vn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPConnectionPool(host='moit.gov.vn', port=80): Read timed out. (read timeout=2)"
moj.go.jp,"HTTPSConnectionPool(host='moj.go.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb669b3f850>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='moj.go.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb66960b460>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
moj.gov.sa,"HTTPSConnectionPool(host='moj.gov.sa', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='moj.gov.sa', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
moja-delatnost.rs,"HTTPSConnectionPool(host='moja-delatnost.rs', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='moja-delatnost.rs', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
mojakompanija.com,"HTTPSConnectionPool(host='www.mojakompanija.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.mojakompanija.com', port=443): Read timed out. (read timeout=2)"
mojaljekarna.hr,"HTTPSConnectionPool(host='mojaljekarna.hr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='mojaljekarna.hr', port=443): Read timed out. (read timeout=2)"
mojevrijeme.hr,"HTTPSConnectionPool(host='www.mojevrijeme.hr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.mojevrijeme.hr', port=443): Read timed out. (read timeout=2)"
momoshop.com.tw,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
mondaq.com,"HTTPSConnectionPool(host='mondaq.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb66924ba00>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='mondaq.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb66672a940>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
mondovolantino.it,"HTTPSConnectionPool(host='mondovolantino.it', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'mondovolantino.it' doesn't match 'www.mondovolantino.it'"")))","HTTPSConnectionPool(host='mondovolantino.it', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'mondovolantino.it' doesn't match 'www.mondovolantino.it'"")))"
montaggimobilitorino.it,"HTTPSConnectionPool(host='montaggimobilitorino.it', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='montaggimobilitorino.it', port=80): Read timed out. (read timeout=2)"
montreal.qc.ca,"HTTPSConnectionPool(host='montreal.qc.ca', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb669f90970>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='montreal.qc.ca', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb664fb2d30>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
mopt.go.cr,"HTTPSConnectionPool(host='mopt.go.cr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb66911d8e0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))","HTTPConnectionPool(host='mopt.go.cr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fb6671b0f40>: Failed to establish a new connection: [Errno 101] Network is unreachable'))"
morelos.gob.mx,"HTTPSConnectionPool(host='morelos.gob.mx', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='morelos.gob.mx', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
