recepti.pl,"HTTPSConnectionPool(host='recepti.pl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.recepti.pl', port=443): Read timed out. (read timeout=2)"
receptizasvakog.com,"HTTPSConnectionPool(host='receptizasvakog.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='receptizasvakog.com', port=443): Read timed out. (read timeout=2)"
receptkollekcio.com,"HTTPSConnectionPool(host='receptkollekcio.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fecf61c8a00>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))","HTTPConnectionPool(host='receptkollekcio.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fecf5c12bb0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
recruit.se,"HTTPSConnectionPool(host='recruit.se', port=443): Read timed out.","HTTPConnectionPool(host='recruit.se', port=80): Read timed out."
redcross.or.th,"HTTPSConnectionPool(host='redcross.or.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)')))","HTTPSConnectionPool(host='redcross.or.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1129)')))"
referat.ro,"HTTPSConnectionPool(host='referat.ro', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.referat.ro', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
refertimacuan.com,"HTTPSConnectionPool(host='refertimacuan.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='refertimacuan.com', port=443): Read timed out. (read timeout=2)"
refworld.org,"HTTPSConnectionPool(host='www.refworld.org', port=443): Read timed out.","HTTPSConnectionPool(host='www.refworld.org', port=443): Read timed out."
regionalobala.si,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
regione.fvg.it,"HTTPSConnectionPool(host='regione.fvg.it', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fecf61a53d0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='regione.fvg.it', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fecf4493b20>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
regione.piemonte.it,"HTTPSConnectionPool(host='regione.piemonte.it', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fecf5230b80>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='regione.piemonte.it', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fecf4533910>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
