stou.ac.th,"HTTPSConnectionPool(host='stou.ac.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f947482a310>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='stou.ac.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f947482abb0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
stradini.lv,"HTTPSConnectionPool(host='stradini.lv', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.stradini.lv', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
straitstimes.com,"('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))","('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))"
strathmore.edu,"HTTPSConnectionPool(host='strathmore.edu', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='strathmore.edu', port=443): Read timed out. (read timeout=2)"
struktuurifondid.ee,"HTTPSConnectionPool(host='struktuurifondid.ee', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='struktuurifondid.ee', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
struma.bg,"HTTPSConnectionPool(host='struma.bg', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='struma.bg', port=443): Read timed out. (read timeout=2)"
studentski.hr,"HTTPSConnectionPool(host='studentski.hr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='studentski.hr', port=443): Read timed out. (read timeout=2)"
studio-aix.com,"HTTPSConnectionPool(host='studio-aix.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f9471ae4d90>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='studio-aix.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f94742dadc0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
studiolegalebazzanbettin.it,"HTTPSConnectionPool(host='studiolegalebazzanbettin.it', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='studiolegalebazzanbettin.it', port=80): Read timed out. (read timeout=2)"
studyrankersonline.com,"HTTPSConnectionPool(host='studyrankersonline.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'studyrankersonline.com' doesn't match 'www.studyrankersonline.com'"")))","HTTPSConnectionPool(host='studyrankersonline.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'studyrankersonline.com' doesn't match 'www.studyrankersonline.com'"")))"
