tempatpinjamuang.co.id,"HTTPSConnectionPool(host='tempatpinjamuang.co.id', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='tempatpinjamuang.co.id', port=80): Read timed out. (read timeout=2)"
tempo-tehnika.rs,"HTTPSConnectionPool(host='www.tempo-tehnika.rs', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.tempo-tehnika.rs', port=443): Read timed out. (read timeout=2)"
terrengsykkelforumet.no,"HTTPSConnectionPool(host='terrengsykkelforumet.no', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1ff222ff40>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='terrengsykkelforumet.no', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f1ff4301cd0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
terveystalo.com,"HTTPSConnectionPool(host='terveystalo.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.terveystalo.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1129)')))"
tesco.com,"HTTPSConnectionPool(host='www.tesco.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.tesco.com', port=443): Read timed out. (read timeout=2)"
tesisenred.net,"HTTPSConnectionPool(host='tesisenred.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='tesisenred.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
textologia.ru,"HTTPSConnectionPool(host='textologia.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1129)')))","HTTPSConnectionPool(host='textologia.ru', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1129)')))"
textopesen.ru,"HTTPSConnectionPool(host='textopesen.ru', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f1ff0c27e50>, 'Connection to textopesen.ru timed out. (connect timeout=2)'))","HTTPConnectionPool(host='textopesen.ru', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f1ff3379bb0>, 'Connection to textopesen.ru timed out. (connect timeout=2)'))"
tff.org,"HTTPSConnectionPool(host='tff.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='tff.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
tg.ch,"HTTPSConnectionPool(host='tg.ch', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f1ff11869a0>, 'Connection to tg.ch timed out. (connect timeout=2)'))","HTTPConnectionPool(host='tg.ch', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f1ff0c836a0>, 'Connection to tg.ch timed out. (connect timeout=2)'))"
thaifranchisecenter.com,"HTTPSConnectionPool(host='thaifranchisecenter.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='thaifranchisecenter.com', port=80): Read timed out. (read timeout=2)"
thaigov.go.th,"HTTPSConnectionPool(host='thaigov.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f1ff3046dc0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='thaigov.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f1ff3d59fd0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
