vgregion.se,"HTTPSConnectionPool(host='www.vgregion.se', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.vgregion.se', port=443): Read timed out. (read timeout=2)"
vhodne-uverejneni.cz,"HTTPSConnectionPool(host='www.vhodne-uverejneni.cz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.vhodne-uverejneni.cz', port=443): Read timed out. (read timeout=2)"
vietnamplus.vn,"HTTPConnectionPool(host='www.vietnamplus.vn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff347e43850>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))","HTTPConnectionPool(host='www.vietnamplus.vn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7ff3462715b0>, 'Connection to www.vietnamplus.vn timed out. (connect timeout=2)'))"
vil.ee,"HTTPSConnectionPool(host='vil.ee', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7ff346271f40>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='vil.ee', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ff346787700>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
villalivet.se,"HTTPSConnectionPool(host='villalivet.se', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='villalivet.se', port=443): Read timed out. (read timeout=2)"
vilniausgalerija.lt,"HTTPSConnectionPool(host='vilniausgalerija.lt', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='vilniausgalerija.lt', port=443): Read timed out. (read timeout=2)"
vilnius.lt,"HTTPSConnectionPool(host='vilnius.lt', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='vilnius.lt', port=443): Read timed out. (read timeout=2)"
vinted.es,"HTTPSConnectionPool(host='www.vinted.es', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.vinted.es', port=443): Read timed out. (read timeout=2)"
violet.vn,"HTTPSConnectionPool(host='violet.vn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='violet.vn', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
violity.com,"HTTPSConnectionPool(host='violity.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='violity.com', port=443): Read timed out. (read timeout=2)"
visitportugal.com,"HTTPSConnectionPool(host='visitportugal.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)')))","HTTPSConnectionPool(host='visitportugal.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)')))"
