wima.ac.id,"HTTPSConnectionPool(host='wima.ac.id', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f92f8ac8790>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='wima.ac.id', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f92f90dafa0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
winwin.rs,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
withonline.jp,"HTTPSConnectionPool(host='withonline.jp', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='withonline.jp', port=443): Read timed out. (read timeout=2)"
wixsite.com,"HTTPSConnectionPool(host='wixsite.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f92f6da6250>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='wixsite.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f92f7abe5b0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
wordsense.eu,"HTTPSConnectionPool(host='www.wordsense.eu', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.wordsense.eu', port=443): Read timed out. (read timeout=2)"
world.co.jp,"HTTPSConnectionPool(host='world.co.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f92f7f864c0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='world.co.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f92f9cfa2e0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
wowkorea.jp,"HTTPSConnectionPool(host='www.wowkorea.jp', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.wowkorea.jp', port=443): Read timed out. (read timeout=2)"
wurth.fi,"HTTPSConnectionPool(host='wurth.fi', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f92f4c198e0>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPSConnectionPool(host='eshop.wurth.fi', port=443): Read timed out. (read timeout=2)"
www.gdansk.pl,"HTTPSConnectionPool(host='www.gdansk.pl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.gdansk.pl', port=443): Read timed out. (read timeout=2)"
www.gob.ec,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
